zip,total_stores,total_reviews,review_weighted_avg
81073,0,0,0.0
80813,0,0,0.0
81236,0,0,0.0
80520,1,3,1.0
81151,0,0,0.0
81062,0,0,0.0
81334,0,0,0.0
80737,0,0,0.0
81654,0,0,0.0
80045,0,0,0.0
80512,0,0,0.0
