,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
57,80133,"2,527","1,284","1,243",103.3,50,123,84,122,136,365,306,145,425,289,372,42,68,50.3,306,"2,263","2,221","2,128",688,482,"2,221","1,130","1,091",103.6,482,241,241,100.0,"2,342",185,"2,342","2,222",31,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,78,185,22,5,0,158,0,0,"2,407",53,5,11,0,236,327,256,40,0,31,"2,200","2,084",0,0,11,0,78,27,0,27,"2,162","1,087","1,075"
58,80134,"75,383","37,573","37,810",99.4,"4,804","5,191","6,030","4,958","4,435","9,176","12,402","11,503","4,749","3,886","5,963","1,779",507,37.4,"19,469","58,177","55,914","53,804","10,466","8,249","55,914","27,950","27,964",99.9,"8,249","3,711","4,538",81.8,"69,616","5,767","69,616","60,717","1,684",300,3,0,29,3,"5,371","2,433",716,251,144,426,338,"1,063",47,0,47,0,0,"1,497","5,767",592,587,"1,200","2,634",50,0,"65,970","2,507","1,127","7,036",207,"4,568","7,695","5,005",532,221,"1,937","67,688","57,421","1,540",114,"5,371",47,184,"3,011",709,"2,302","53,465","26,775","26,690"
59,80135,"4,061","2,016","2,045",98.6,81,56,288,355,237,275,317,836,240,300,605,383,88,50.7,682,"3,580","3,379","3,261","1,243","1,076","3,379","1,721","1,658",103.8,"1,076",561,515,108.9,"3,927",134,"3,927","3,859",16,9,6,0,0,0,22,7,15,0,0,0,0,0,4,0,0,4,0,17,134,0,34,34,66,0,0,"3,993",16,43,56,4,83,310,207,0,0,103,"3,751","3,620",15,9,22,4,0,81,13,68,"3,365","1,710","1,655"
60,80136,"6,104","2,957","3,147",94.0,235,465,698,354,571,655,656,997,427,322,597,119,8,37.6,"1,730","4,576","4,374","4,261",865,724,"4,374","2,102","2,272",92.5,724,187,537,34.8,"5,281",823,"5,281","4,646",106,5,5,0,0,0,32,0,0,0,20,12,0,0,0,0,0,0,0,492,823,11,56,71,561,0,40,"5,429",157,61,103,84,"1,093","1,141","1,076",43,0,22,"4,963","4,398",106,5,32,0,19,403,181,222,"4,242","1,970","2,272"
61,80137,"1,944","1,121",823,136.2,77,58,92,499,79,187,134,316,114,109,172,84,23,30.0,559,"1,554","1,385","1,207",330,279,"1,385",755,630,119.8,279,142,137,103.6,"1,496",448,"1,496","1,144",141,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,202,448,0,41,0,391,0,0,"1,592",157,49,1,0,609,664,595,0,0,69,"1,280","1,101",141,0,0,0,0,38,29,9,"1,197",669,528
62,80138,"36,113","18,567","17,546",105.8,"1,746","2,341","2,806","3,097","2,300","3,739","5,209","5,213","3,122","2,110","2,867","1,165",398,39.8,"8,831","28,616","27,282","25,593","5,590","4,430","27,282","13,607","13,675",99.5,"4,430","2,116","2,314",91.4,"32,856","3,257","32,856","30,418",171,112,0,0,4,48,"1,360",84,118,206,100,512,72,268,0,0,0,0,0,795,"3,257",291,400,537,"1,817",0,0,"33,597",522,698,"1,939",26,"2,722","4,102","2,749",123,0,"1,230","32,011","28,747",110,72,"1,309",0,183,"1,590",467,"1,123","26,519","13,373","13,146"
63,80202,"18,180","9,828","8,352",117.7,75,82,129,533,"2,474","6,661","2,419","1,851",848,"1,031","1,268",608,201,33.5,409,"17,787","17,771","17,254","2,824","2,077","17,771","9,700","8,071",120.2,"2,077","1,093",984,111.1,"16,589","1,591","16,589","14,396",467,24,0,0,0,0,930,95,453,15,45,162,41,119,37,37,0,0,0,735,"1,591",163,592,310,493,0,0,"15,970",630,616,"1,257",70,"1,228","2,565","1,254",29,71,"1,211","15,615","13,248",467,3,915,37,29,916,111,805,"17,112","9,397","7,715"
64,80203,"21,650","12,274","9,376",130.9,190,183,141,110,"1,472","10,105","3,859","1,784",861,710,"1,707",358,170,33.0,577,"21,115","21,073","20,956","2,666","2,235","21,073","11,959","9,114",131.2,"2,235","1,339",896,149.4,"19,562","2,088","19,562","17,455",966,52,0,0,25,0,442,42,144,71,0,61,39,85,0,0,0,0,0,647,"2,088",137,258,281,"1,055",97,0,"19,388","1,393",488,870,48,"1,839","3,545","2,135",387,170,853,"18,105","15,989",870,0,442,0,27,777,210,567,"20,330","11,684","8,646"
65,80204,"34,534","18,505","16,029",115.4,"1,663","1,610","1,590","2,279","1,835","9,924","5,546","3,613","1,524","1,792","2,082",837,239,32.9,"5,902","29,418","28,632","27,038","4,129","3,158","28,632","15,348","13,284",115.5,"3,158","1,717","1,441",119.2,"29,022","5,512","29,022","22,333","2,471",303,4,0,13,31,725,82,179,96,61,94,114,99,49,41,0,0,8,"3,141","5,512",224,364,139,"4,106",267,112,"27,351","3,197","1,199",941,66,"7,493","14,029","10,951",256,65,"2,757","20,505","16,215","2,296",190,636,41,38,"1,089",165,924,"25,726","13,721","12,005"
66,80205,"34,289","17,659","16,630",106.2,"2,200","1,299","1,361","1,104","1,842","11,286","6,274","4,176","1,254","1,170","1,526",445,352,33.1,"5,466","29,200","28,823","28,142","3,032","2,323","28,823","15,135","13,688",110.6,"2,323",929,"1,394",66.6,"30,555","3,734","30,555","20,895","4,651",387,11,0,163,12,"1,072",163,347,122,66,109,91,174,8,0,6,0,2,"3,542","3,734",599,306,470,"1,415",138,283,"24,067","5,958","1,104","1,750",71,"5,526","8,152","5,949",297,32,"1,874","26,137","18,488","4,412",123,"1,040",8,136,"1,930",413,"1,517","27,548","14,477","13,071"
