,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
92,80235,"8,593","3,805","4,788",79.5,513,243,366,442,729,"1,956",863,841,683,394,836,484,243,35.5,"1,367","7,452","7,226","6,924","1,828","1,563","7,226","3,063","4,163",73.6,"1,563",594,969,61.3,"7,876",717,"7,876","6,661",431,86,0,0,0,0,196,45,68,13,0,22,0,48,0,0,0,0,0,502,717,84,19,167,369,0,16,"7,344",546,130,400,0,934,"1,631","1,259",14,1,357,"6,962","5,926",426,60,195,0,51,304,28,276,"7,079","3,026","4,053"
93,80236,"16,183","8,191","7,992",102.5,704,894,"1,291",840,"1,039","2,356","2,477","2,007","1,169","1,052","1,387",558,409,38.3,"3,469","13,208","12,714","12,279","3,061","2,354","12,714","6,245","6,469",96.5,"2,354",985,"1,369",72.0,"12,962","3,221","12,962","10,798",239,89,6,0,13,0,800,38,6,46,74,30,504,102,0,0,0,0,0,"1,036","3,221",505,127,100,"2,277",0,0,"13,994",801,235,"1,019",81,"3,387","6,955","4,734",22,215,"1,984","9,228","7,230",239,6,784,0,183,786,48,738,"11,920","5,870","6,050"
94,80237,"22,393","11,113","11,280",98.5,911,"1,107",852,687,"1,575","5,567","3,260","3,005",839,993,"1,760","1,393",444,36.6,"3,295","19,406","19,098","18,662","4,205","3,597","19,098","9,674","9,424",102.7,"3,597","1,568","2,029",77.3,"20,493","1,900","20,493","16,925","1,740",94,0,0,0,0,783,114,326,20,97,71,120,35,0,0,0,0,0,951,"1,900",392,168,239,985,0,0,"18,726","2,218",331,"1,108",0,"1,966","3,399","2,394",219,36,750,"18,994","15,702","1,510",58,783,0,15,926,147,779,"17,905","8,896","9,009"
95,80238,"29,391","14,994","14,397",104.1,"2,779","2,675","3,140","1,545",436,"3,919","6,502","5,143",823,551,"1,242",550,86,35.4,"9,942","20,340","19,449","19,166","2,229","1,878","19,449","9,526","9,923",96.0,"1,878",821,"1,057",77.7,"26,532","2,859","26,532","20,932","2,233",63,0,0,12,0,"1,835",494,439,95,240,83,343,141,29,29,0,0,0,"1,440","2,859",529,73,694,789,71,219,"23,317","3,283",385,"2,908",182,"2,559","3,936","2,050",606,0,"1,280","25,455","19,489","2,233",51,"1,777",29,64,"1,812",335,"1,477","18,564","9,165","9,399"
96,80239,"46,450","24,269","22,181",109.4,"2,832","2,796","4,151","4,117","3,590","9,118","7,175","5,668","1,977","1,533","2,140","1,112",241,31.3,"12,504","35,676","33,946","31,818","4,307","3,493","33,946","17,910","16,036",111.7,"3,493","1,421","2,072",68.6,"37,825","8,625","37,825","15,435","8,712",982,0,0,57,0,"1,320",97,28,63,5,47,386,694,188,0,5,0,183,"11,188","8,625",333,517,143,"7,020",80,84,"23,789","9,456","1,898","1,578",277,"18,418","29,218","24,024",125,59,"5,010","17,232","5,771","8,411",204,"1,320",188,326,"1,012",156,856,"25,306","12,772","12,534"
97,80241,"33,656","17,322","16,334",106.0,"1,960","2,197","2,668","2,652","2,075","5,000","5,333","4,055","2,139","1,640","2,605","1,185",147,35.5,"8,598","26,318","25,058","23,881","5,025","3,937","25,058","12,439","12,619",98.6,"3,937","1,760","2,177",80.8,"29,634","4,022","29,634","25,228",659,464,217,0,49,0,"1,740",492,285,83,23,145,367,345,6,0,6,0,0,"1,537","4,022",222,632,341,"2,604",0,19,"29,166","1,039","1,152","2,105",89,"4,266","7,958","6,190",239,48,"1,481","25,698","21,570",613,30,"1,669",6,96,"1,714",503,"1,211","23,775","11,775","12,000"
98,80246,"13,067","6,713","6,354",105.6,426,518,335,408,"1,230","4,347","2,457","1,174",552,573,771,191,85,32.5,"1,409","11,711","11,658","11,302","1,363","1,047","11,658","5,974","5,684",105.1,"1,047",494,553,89.3,"11,534","1,533","11,534","8,830","1,491",138,0,0,70,0,347,35,66,28,20,110,15,73,12,0,0,0,12,716,"1,533",207,44,391,621,0,76,"10,269","1,817",322,772,56,"1,530","2,283","1,505",206,11,561,"10,784","8,086","1,491",70,333,12,30,762,61,701,"10,848","5,620","5,228"
99,80247,"28,580","13,311","15,269",87.2,"1,575","1,280","1,241",867,"2,077","6,937","3,913","2,522","1,810","1,320","2,589","1,547",902,35.6,"4,578","24,326","24,002","23,369","5,841","5,038","24,002","11,055","12,947",85.4,"5,038","1,909","3,129",61.0,"26,019","2,561","26,019","15,397","7,042",138,0,0,63,0,"1,351",197,451,115,9,197,150,232,0,0,0,0,0,"2,091","2,561",943,181,147,616,82,133,"17,619","8,506",575,"1,714",47,"3,028","5,146","3,352",260,77,"1,457","23,434","13,320","6,902",138,"1,290",0,106,"1,678",122,"1,556","21,407","9,920","11,487"
100,80249,"39,685","19,650","20,035",98.1,"3,509","3,085","3,026","3,024","3,311","5,873","5,773","5,149","2,215","1,515","2,198",807,200,31.6,"11,592","29,415","28,093","26,295","4,061","3,205","28,093","13,732","14,361",95.6,"3,205","1,542","1,663",92.7,"33,544","6,141","33,544","13,273","12,822",177,0,0,0,30,"2,934",231,58,282,101,0,"1,108","1,154",21,21,0,0,0,"4,317","6,141",391,150,30,"4,652",310,82,"18,684","13,668","1,025","3,040",234,"9,363","15,417","11,514",144,37,"3,722","24,268","7,669","12,481",30,"2,856",0,262,970,116,854,"24,361","11,813","12,548"
101,80260,"35,309","17,827","17,482",102.0,"3,249","2,312","3,225","2,877","2,691","6,230","4,916","3,395","1,495","1,345","2,286",921,367,30.0,"10,489","25,797","24,820","23,179","4,200","3,574","24,820","12,507","12,313",101.6,"3,574","1,473","2,101",70.1,"28,097","7,212","28,097","20,985",964,288,33,0,30,26,"1,115",0,175,131,69,30,126,584,112,0,1,0,111,"4,633","7,212",124,371,292,"5,354",0,82,"28,098","1,209","1,563","1,457",197,"10,934","20,239","17,195",101,0,"2,943","15,070","11,918",955,148,"1,012",112,234,691,159,532,"19,242","9,520","9,722"
102,80264,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,80266,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,80290,349,185,164,112.8,0,0,0,0,37,106,57,132,17,0,0,0,0,43.3,0,349,349,349,0,0,349,185,164,112.8,0,0,0,-,276,73,276,238,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,8,73,0,0,62,11,0,0,311,0,0,92,0,19,133,114,8,0,11,216,186,0,0,30,0,0,0,0,0,331,167,164
105,80293,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,80294,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,80301,"24,593","12,764","11,829",107.9,779,983,"1,009","1,061","1,934","5,694","3,360","3,431","1,291","1,280","2,312","1,047",412,37.8,"3,252","21,644","21,341","20,560","4,354","3,771","21,341","11,219","10,122",110.8,"3,771","1,866","1,905",98.0,"22,616","1,977","22,616","21,164",183,54,0,0,10,14,894,369,216,102,45,51,0,111,0,0,0,0,0,321,"1,977",121,113,308,"1,333",0,0,"23,131",381,207,"1,232",0,"1,731","2,333","1,487",57,57,732,"22,260","20,102",173,27,894,0,140,924,380,544,"20,354","10,567","9,787"
108,80302,"30,569","15,760","14,809",106.4,514,465,873,"3,461","10,412","4,071","2,570","1,905","1,283","1,250","2,443",886,436,24.2,"2,319","28,477","28,250","21,787","4,499","3,765","28,250","14,534","13,716",106.0,"3,765","1,714","2,051",83.6,"28,637","1,932","28,637","25,942",336,347,10,0,0,0,"1,650",315,862,44,106,130,15,178,9,0,9,0,0,353,"1,932",137,223,595,746,0,0,"27,815",528,701,"2,345",26,"1,258","2,210","1,267",101,80,762,"28,359","25,133",325,48,"1,650",9,106,"1,088",148,940,"26,506","13,576","12,930"
109,80303,"24,865","12,947","11,918",108.6,616,703,752,"2,176","6,189","3,446","2,459","2,234",927,"1,287","1,893","1,281",902,29.5,"2,660","22,617","22,205","18,653","4,907","4,076","22,205","11,725","10,480",111.9,"4,076","1,735","2,341",74.1,"23,238","1,627","23,238","20,778",166,56,0,0,1,9,"1,697",145,951,52,128,137,24,260,14,0,14,0,0,527,"1,627",187,143,384,714,0,5,"22,379",408,284,"2,136",157,"1,254","1,852",967,25,83,777,"23,013","19,983",166,49,"1,683",0,206,926,118,808,"20,795","10,840","9,955"
110,80304,"25,617","12,776","12,841",99.5,817,"1,228","1,363","1,938","1,400","4,060","2,972","4,097","1,926","1,533","2,930",946,407,41.4,"4,568","21,826","21,049","20,109","5,229","4,283","21,049","10,528","10,521",100.1,"4,283","1,961","2,322",84.5,"23,668","1,949","23,668","21,700",54,137,0,0,61,9,857,152,245,16,117,48,5,274,0,0,0,0,0,920,"1,949",93,144,410,"1,189",8,0,"23,600",207,361,"1,300",0,"2,162","3,908","2,650",33,73,"1,152","21,709","19,584",54,96,857,0,81,"1,037",383,654,"19,639","9,713","9,926"
111,80305,"16,280","8,245","8,035",102.6,548,879,868,"1,191","2,024","2,282","2,037","2,313",844,863,"1,392",834,205,36.8,"2,940","13,836","13,340","12,171","2,866","2,431","13,340","6,836","6,504",105.1,"2,431","1,182","1,249",94.6,"15,125","1,155","15,125","13,730",180,67,0,0,0,0,967,246,404,10,100,48,36,123,20,20,0,0,0,161,"1,155",167,47,192,630,0,0,"14,885",466,233,"1,159",20,791,"1,188",647,84,36,421,"15,092","13,303",179,59,944,20,0,587,91,496,"12,727","6,588","6,139"
112,80310,"7,597","3,904","3,693",105.7,0,0,0,"5,471","2,075",47,4,0,0,0,0,0,0,19.3,60,"7,597","7,537",794,0,0,"7,537","3,880","3,657",106.1,0,0,0,-,"6,835",762,"6,835","5,768",202,0,0,0,0,0,833,172,395,4,20,162,65,15,22,0,22,0,0,10,762,58,45,101,554,0,0,"6,530",260,45,938,22,568,"1,044",650,18,75,301,"6,553","5,280",202,0,833,22,0,216,24,192,"7,018","3,587","3,431"
113,80401,"42,777","22,800","19,977",114.1,"1,804","2,037","2,022","3,337","3,329","6,259","6,066","5,280","2,911","2,732","4,534","1,787",679,39.2,"7,447","36,198","35,330","32,483","8,485","7,000","35,330","18,840","16,490",114.3,"7,000","3,387","3,613",93.7,"39,805","2,972","39,805","37,406",513,185,14,0,16,0,"1,101",55,411,129,170,85,106,145,5,0,5,0,0,595,"2,972",277,281,508,"1,346",36,28,"40,282","1,083",729,"1,694",63,"2,355","4,491","2,694",66,121,"1,610","38,286","34,964",487,86,"1,101",5,189,"1,454",268,"1,186","34,243","18,229","16,014"
114,80403,"20,809","10,760","10,049",107.1,"1,105","1,423","1,096","1,069",980,"1,935","2,956","2,962","1,842","1,825","2,254",930,432,43.9,"4,303","16,921","16,506","15,860","4,913","3,616","16,506","8,533","7,973",107.0,"3,616","1,729","1,887",91.6,"20,075",734,"20,075","19,429",141,67,0,0,35,0,282,12,152,14,42,7,40,15,0,0,0,0,0,156,734,60,158,173,265,33,0,"20,130",234,303,455,0,466,"1,020",632,11,9,368,"19,789","18,772",141,41,282,0,81,472,68,404,"16,191","8,378","7,813"
115,80419,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,80420,819,472,347,136.0,0,0,48,30,122,71,78,136,105,108,92,29,0,48.1,62,771,757,741,177,121,757,441,316,139.6,121,78,43,181.4,788,31,788,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,819,0,0,0,0,31,54,17,0,23,14,765,765,0,0,0,0,0,0,0,0,754,438,316
117,80421,"9,065","4,891","4,174",117.2,334,347,670,484,255,902,"1,197","1,395",820,"1,025","1,226",377,33,47.5,"1,723","7,522","7,342","7,111","2,319","1,636","7,342","3,988","3,354",118.9,"1,636",849,787,107.9,"8,467",598,"8,467","8,166",58,107,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,598,86,251,29,143,0,0,"8,752",188,447,29,0,324,770,439,112,0,219,"8,295","7,704",57,58,0,0,39,437,28,409,"7,313","3,980","3,333"
118,80422,"4,347","2,284","2,063",110.7,187,283,195,182,73,384,584,762,358,640,343,264,92,48.8,812,"3,664","3,535","3,461",890,699,"3,535","1,880","1,655",113.6,699,363,336,108.0,"3,967",380,"3,967","3,869",9,77,0,0,0,1,10,0,10,0,0,0,0,0,0,0,0,0,0,2,380,187,45,74,54,0,0,"4,249",196,142,84,0,76,336,136,66,0,134,"4,011","3,686",9,36,10,0,0,270,0,270,"3,350","1,880","1,470"
119,80423,160,111,49,226.5,0,0,0,0,0,31,32,0,51,0,46,0,0,59.2,0,160,160,160,46,46,160,111,49,226.5,46,46,0,-,160,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,160,111,49
120,80424,"10,811","5,839","4,972",117.4,433,479,381,407,722,"2,375","2,083","1,133",744,328,"1,319",374,33,37.8,"1,488","9,459","9,323","9,007","1,884","1,726","9,323","5,105","4,218",121.0,"1,726","1,020",706,144.5,"9,958",853,"9,958","9,372",14,44,0,0,0,0,285,14,108,0,59,0,0,104,138,138,0,0,0,105,853,255,69,0,529,0,0,"10,225",269,113,285,138,634,588,467,40,0,81,"10,223","9,202",14,41,271,138,0,557,233,324,"9,079","4,990","4,089"
121,80425,329,127,202,62.9,0,43,84,37,1,4,43,63,10,13,31,0,0,21.5,162,202,167,165,44,31,167,92,75,122.7,31,21,10,210.0,327,2,327,326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,328,1,0,0,0,2,2,2,0,0,0,327,326,1,0,0,0,0,0,0,0,167,92,75
122,80426,46,23,23,100.0,0,0,0,0,0,0,0,0,0,20,26,0,0,66.2,0,46,46,46,37,26,46,23,23,100.0,26,12,14,85.7,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,46,23,23
123,80427,686,351,335,104.8,3,14,57,84,0,107,130,68,52,74,62,34,1,43.2,126,612,560,528,171,97,560,276,284,97.2,97,35,62,56.5,581,105,581,563,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,22,9,36,38,0,630,38,78,9,0,36,195,195,0,0,0,491,463,0,0,0,0,0,28,16,12,541,257,284
124,80428,512,322,190,169.5,70,71,20,15,0,95,55,51,79,28,21,0,7,31.5,161,351,351,336,47,28,351,184,167,110.2,28,0,28,-,432,80,432,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,74,0,6,0,0,512,0,74,0,0,6,80,0,74,0,6,432,432,0,0,0,0,0,0,0,0,351,184,167
125,80430,145,61,84,72.6,0,3,6,18,0,18,21,35,6,14,11,9,4,48.5,18,136,127,118,38,24,127,52,75,69.3,24,4,20,20.0,145,0,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,145,145,0,0,0,0,0,0,0,0,127,52,75
126,80432,208,138,70,197.1,0,0,0,0,0,0,0,81,0,0,0,39,88,75.9,0,208,208,208,127,127,208,138,70,197.1,127,88,39,225.6,208,0,208,201,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,7,0,0,0,0,0,0,0,0,0,208,201,7,0,0,0,0,0,0,0,208,138,70
127,80433,"8,386","4,325","4,061",106.5,376,469,422,434,154,643,"1,113","1,366","1,060",834,"1,290",216,9,48.9,"1,607","6,983","6,779","6,656","1,870","1,515","6,779","3,478","3,301",105.4,"1,515",741,774,95.7,"7,909",477,"7,909","7,619",0,25,14,0,0,0,133,0,28,0,12,35,28,30,0,0,0,0,0,132,477,6,128,28,201,0,0,"8,082",52,234,194,68,365,561,291,141,0,129,"7,825","7,286",0,14,133,0,23,369,137,232,"6,621","3,356","3,265"
128,80434,46,25,21,119.0,0,0,0,0,0,0,0,24,4,0,18,0,0,54.9,0,46,46,46,18,18,46,25,21,119.0,18,10,8,125.0,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,46,25,21
129,80435,"8,336","4,790","3,546",135.1,362,573,605,358,520,"1,865","1,453",711,658,501,531,173,26,34.3,"1,852","6,693","6,484","6,325",993,730,"6,484","3,781","2,703",139.9,730,423,307,137.8,"7,037","1,299","7,037","6,573",71,0,0,0,0,0,71,60,0,0,0,0,11,0,0,0,0,0,0,322,"1,299",67,3,0,"1,178",0,0,"7,864",189,3,122,0,"1,500","2,487","1,558",14,0,915,"5,849","5,516",71,0,71,0,0,191,70,121,"5,959","3,508","2,451"
130,80436,423,232,191,121.5,17,0,0,26,0,0,94,27,79,13,114,53,0,58.4,28,395,395,380,167,167,395,204,191,106.8,167,76,91,83.5,368,55,368,313,0,55,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,368,0,110,0,0,0,94,94,0,0,0,329,313,0,16,0,0,0,0,0,0,395,204,191
131,80438,649,383,266,144.0,24,13,21,18,8,101,148,106,27,65,103,13,2,44.9,76,591,573,569,156,118,573,334,239,139.7,118,71,47,151.1,597,52,597,575,16,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,52,9,18,3,22,0,0,627,25,20,5,0,24,21,15,0,0,6,628,562,16,2,2,0,0,46,16,30,573,334,239
132,80439,"24,764","12,566","12,198",103.0,765,"1,409","1,818","1,529",630,"1,457","3,288","4,141","2,094","2,311","3,238","1,447",637,48.9,"5,094","20,416","19,670","19,151","6,685","5,322","19,670","9,914","9,756",101.6,"5,322","2,580","2,742",94.1,"23,733","1,031","23,733","23,051",144,32,0,0,0,10,200,9,43,43,9,85,0,11,14,0,14,0,0,292,"1,031",12,141,151,700,0,0,"24,082",165,192,359,22,"1,002","1,199",786,55,0,358,"23,565","22,431",144,25,200,14,183,568,248,320,"19,462","9,754","9,708"
133,80440,"2,574","1,513","1,061",142.6,64,85,148,153,133,362,604,389,154,142,247,93,0,40.1,413,"2,244","2,161","2,101",432,340,"2,161","1,236",925,133.6,340,160,180,88.9,"2,487",87,"2,487","2,377",26,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,8,87,38,34,0,15,0,0,"2,464",64,34,76,0,23,190,183,0,0,7,"2,384","2,207",26,0,76,0,8,67,0,67,"2,127","1,219",908
134,80442,"2,315","1,090","1,225",89.0,79,106,66,74,161,754,273,354,198,61,189,0,0,34.3,282,"2,033","2,033","1,960",240,189,"2,033",960,"1,073",89.5,189,102,87,117.2,"2,071",244,"2,071","1,978",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,241,0,0,"2,222",93,0,3,3,241,350,322,0,0,28,"1,965","1,834",93,0,0,0,0,38,35,3,"1,878",900,978
135,80443,"4,118","2,019","2,099",96.2,0,137,302,463,70,388,470,"1,117",311,205,362,204,89,47.8,691,"3,627","3,427","3,215",860,655,"3,427","1,789","1,638",109.2,655,283,372,76.1,"3,438",680,"3,438","3,290",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,680,15,0,0,665,0,0,"3,970",15,80,0,0,733,68,0,0,0,68,"4,050","3,290",0,80,0,0,0,680,665,15,"3,266","1,789","1,477"
136,80444,"1,104",483,621,77.8,42,35,14,19,79,184,192,113,61,131,143,37,54,44.0,100,"1,013","1,004",952,294,234,"1,004",425,579,73.4,234,65,169,38.5,"1,059",45,"1,059","1,002",6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45,0,15,0,25,0,0,"1,047",6,27,0,0,74,102,46,39,0,17,"1,002",937,6,7,0,0,37,15,0,15,981,409,572
137,80446,"3,477","1,878","1,599",117.4,156,171,139,55,92,412,458,332,331,396,637,195,103,52.1,481,"3,011","2,996","2,956","1,247",935,"2,996","1,627","1,369",118.8,935,407,528,77.1,"3,113",364,"3,113","3,080",8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,364,75,70,0,197,0,22,"3,422",105,86,0,0,228,309,121,51,0,137,"3,168","2,945",0,16,0,0,3,204,159,45,"2,942","1,592","1,350"
138,80447,"2,183","1,027","1,156",88.8,98,0,173,163,28,159,323,272,130,360,324,133,20,51.1,407,"1,899","1,776","1,749",584,477,"1,776",854,922,92.6,477,333,144,231.3,"1,822",361,"1,822","1,812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,361,227,89,0,45,0,0,"2,173",227,89,0,0,55,14,14,0,0,0,"2,169","1,798",0,0,0,0,10,361,45,316,"1,685",764,921
139,80448,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,80449,"1,190",562,628,89.5,3,0,9,33,30,23,180,38,263,75,435,87,14,61.3,12,"1,178","1,178","1,145",550,536,"1,178",558,620,90.0,536,328,208,157.7,"1,108",82,"1,108","1,050",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,82,0,27,0,55,0,0,"1,132",0,37,0,0,103,58,48,0,0,10,"1,132","1,050",0,0,0,0,0,82,55,27,"1,178",558,620
141,80451,"1,001",509,492,103.5,65,84,59,73,16,108,174,155,79,55,98,35,0,40.6,255,793,746,720,167,133,746,390,356,109.6,133,65,68,95.6,919,82,919,895,9,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,82,0,11,1,70,0,0,977,9,11,16,0,70,54,54,0,0,0,947,845,9,0,15,0,0,78,66,12,731,390,341
142,80452,"3,316","1,632","1,684",96.9,89,84,145,96,284,470,370,436,267,347,533,172,23,49.1,359,"2,998","2,957","2,900",920,728,"2,957","1,419","1,538",92.3,728,420,308,136.4,"3,123",193,"3,123","2,961",132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,193,0,26,25,141,1,0,"3,153",133,33,25,0,165,435,83,158,1,193,"2,881","2,714",85,6,0,0,24,52,0,52,"2,858","1,397","1,461"
143,80453,329,207,122,169.7,0,31,0,0,0,176,53,40,0,29,0,0,0,33.0,31,298,298,298,0,0,298,176,122,144.3,0,0,0,-,329,0,329,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,329,329,0,0,0,0,0,0,0,0,298,176,122
144,80454,"1,430",743,687,108.2,0,124,120,79,0,72,203,257,141,118,270,46,0,49.1,294,"1,163","1,136","1,107",377,316,"1,136",608,528,115.2,316,166,150,110.7,"1,291",139,"1,291","1,241",0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,26,139,0,49,50,40,0,0,"1,380",0,49,74,0,66,66,0,0,0,66,"1,364","1,241",0,0,24,0,0,99,0,99,"1,136",608,528
145,80455,402,206,196,105.1,0,7,19,17,31,31,32,47,67,45,102,4,0,57.4,43,376,359,359,121,106,359,197,162,121.6,106,79,27,292.6,390,12,390,375,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,4,12,4,8,0,0,0,0,387,4,8,11,0,4,11,11,0,0,0,391,364,0,0,11,0,4,12,0,12,349,187,162
